id,type,title,description,skills,source
1,job,Data Analyst,"Analyze business data, build reports, and communicate insights to stakeholders.","SQL, Python, Tableau, Excel, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
2,job,Business Analyst,Translate business needs into analytical requirements and support process improvement.,"requirements gathering, SQL, communication, process mapping",Curated prototype; future source: Kaggle/job boards/company career pages
3,job,Product Analyst,"Analyze user behavior, product funnels, and experiment results to guide product decisions.","SQL, A/B testing, metrics, product analytics",Curated prototype; future source: Kaggle/job boards/company career pages
4,job,BI Analyst,Build dashboards and reporting systems for business performance tracking.,"Power BI, Tableau, SQL, dashboard design",Curated prototype; future source: Kaggle/job boards/company career pages
5,job,Marketing Analyst,"Evaluate campaign performance, customer segments, and marketing ROI.","analytics, visualization, Excel, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
6,job,Financial Analyst,"Analyze financial data, budgets, forecasts, and performance trends.","Excel, finance, forecasting, SQL",Curated prototype; future source: Kaggle/job boards/company career pages
7,job,Risk Analyst,"Identify and monitor business, credit, or operational risks using data.","statistics, risk modeling, SQL, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
8,job,Operations Analyst,Improve operational efficiency through process analysis and performance metrics.,"SQL, process improvement, KPIs, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
9,job,Data Scientist,Build predictive models and use machine learning to solve business problems.,"Python, machine learning, statistics, modeling",Curated prototype; future source: Kaggle/job boards/company career pages
10,job,Machine Learning Analyst,Apply ML models to business data and evaluate model performance.,"Python, machine learning, evaluation, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
11,job,AI Analyst,Use AI tools and data analysis to improve business workflows and decision-making.,"AI tools, Python, prompt engineering, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
12,job,Analytics Consultant,"Advise clients using data analysis, dashboards, and strategic recommendations.","consulting, communication, SQL, visualization",Curated prototype; future source: Kaggle/job boards/company career pages
13,job,Customer Insights Analyst,"Analyze customer feedback, behavior, and segmentation to improve experience.","NLP, survey analysis, SQL, visualization",Curated prototype; future source: Kaggle/job boards/company career pages
14,job,Supply Chain Analyst,"Use data to optimize inventory, logistics, and supply chain performance.","optimization, SQL, forecasting, operations",Curated prototype; future source: Kaggle/job boards/company career pages
15,job,People Analytics Analyst,Analyze workforce data to support HR and organizational decisions.,"statistics, dashboards, communication, Excel",Curated prototype; future source: Kaggle/job boards/company career pages
16,job,Fraud Analyst,Detect suspicious patterns and reduce fraud risk using transaction data.,"SQL, anomaly detection, risk analytics, Python",Curated prototype; future source: Kaggle/job boards/company career pages
17,job,Healthcare Data Analyst,"Analyze healthcare operations, patient data, and service performance metrics.","SQL, statistics, visualization, healthcare analytics",Curated prototype; future source: Kaggle/job boards/company career pages
18,job,Social Media Analyst,Measure social media performance and audience engagement trends.,"marketing analytics, dashboards, text analysis",Curated prototype; future source: Kaggle/job boards/company career pages
19,job,Research Analyst,"Collect, clean, and interpret data to support research and reporting.","data cleaning, statistics, Excel, writing",Curated prototype; future source: Kaggle/job boards/company career pages
20,job,Strategy Analyst,Use market and business data to support strategic planning and decisions.,"market research, Excel, communication, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
21,job,Database Analyst,"Manage, query, and analyze structured databases for reporting needs.","SQL, database design, data quality, reporting",Curated prototype; future source: Kaggle/job boards/company career pages
22,job,Reporting Analyst,Create recurring reports and performance dashboards for business teams.,"Excel, Tableau, Power BI, SQL",Curated prototype; future source: Kaggle/job boards/company career pages
23,job,Pricing Analyst,"Analyze pricing data, demand, and profitability to support pricing decisions.","Excel, statistics, SQL, business analytics",Curated prototype; future source: Kaggle/job boards/company career pages
24,job,Revenue Analyst,"Monitor revenue performance, trends, and growth opportunities.","SQL, forecasting, dashboards, finance",Curated prototype; future source: Kaggle/job boards/company career pages
25,job,Client Success Analyst,Analyze client usage and feedback to improve customer success strategies.,"communication, SQL, dashboards, customer analytics",Curated prototype; future source: Kaggle/job boards/company career pages
26,course,Python for Data Analysis,"Use Python and pandas to clean, transform, and analyze datasets.","Python, pandas, data cleaning",Curated prototype; future source: Fordham catalog/professor files/course descriptions
27,course,SQL for Analytics,Query relational databases and prepare data for business analysis.,"SQL, databases, joins, aggregation",Curated prototype; future source: Fordham catalog/professor files/course descriptions
28,course,Data Visualization,Design visualizations and dashboards that communicate analytical insights.,"Tableau, dashboard design, storytelling",Curated prototype; future source: Fordham catalog/professor files/course descriptions
29,course,Business Intelligence,Develop BI reports and performance monitoring systems for organizations.,"Power BI, Tableau, KPI reporting",Curated prototype; future source: Fordham catalog/professor files/course descriptions
30,course,Statistics for Business,"Apply probability, inference, and statistical reasoning to business problems.","statistics, hypothesis testing, regression",Curated prototype; future source: Fordham catalog/professor files/course descriptions
31,course,Machine Learning for Business,Build predictive models and evaluate their business applications.,"machine learning, Python, model evaluation",Curated prototype; future source: Fordham catalog/professor files/course descriptions
32,course,Natural Language Processing,"Analyze text data such as reviews, surveys, and customer feedback.","NLP, text mining, Python",Curated prototype; future source: Fordham catalog/professor files/course descriptions
33,course,Data Engineering,Build data pipelines and understand ETL processes for analytics systems.,"ETL, SQL, data pipelines",Curated prototype; future source: Fordham catalog/professor files/course descriptions
34,course,Analytics Strategy,Connect data analysis to business strategy and stakeholder decision-making.,"strategy, communication, analytics",Curated prototype; future source: Fordham catalog/professor files/course descriptions
35,course,Product Analytics,"Analyze product usage, funnels, retention, and experimentation results.","A/B testing, product metrics, SQL",Curated prototype; future source: Fordham catalog/professor files/course descriptions
36,course,Marketing Analytics,"Measure campaign performance, customer behavior, and marketing ROI.","marketing analytics, segmentation, visualization",Curated prototype; future source: Fordham catalog/professor files/course descriptions
37,course,Financial Analytics,"Analyze financial data for forecasting, budgeting, and business planning.","finance, Excel, forecasting",Curated prototype; future source: Fordham catalog/professor files/course descriptions
38,course,Risk Analytics,Use data and statistical tools to identify and monitor risk.,"risk modeling, statistics, SQL",Curated prototype; future source: Fordham catalog/professor files/course descriptions
39,course,Optimization Analytics,Use optimization methods to support operations and resource allocation.,"optimization, decision modeling, operations",Curated prototype; future source: Fordham catalog/professor files/course descriptions
40,course,AI for Business,Understand how AI tools can support business workflows and decision-making.,"AI tools, prompt engineering, automation",Curated prototype; future source: Fordham catalog/professor files/course descriptions
41,course,Data Storytelling,"Communicate insights clearly through narrative, visuals, and recommendations.","communication, visualization, presentation",Curated prototype; future source: Fordham catalog/professor files/course descriptions
42,course,Database Management,"Understand database structure, data quality, and database-driven analytics.","SQL, database design, data quality",Curated prototype; future source: Fordham catalog/professor files/course descriptions
43,course,Applied Econometrics,Use regression and causal reasoning for business and policy analysis.,"regression, statistics, causal analysis",Curated prototype; future source: Fordham catalog/professor files/course descriptions
44,course,Cloud Analytics,Learn cloud-based tools for scalable data storage and analytics workflows.,"cloud, data pipelines, analytics",Curated prototype; future source: Fordham catalog/professor files/course descriptions
45,course,Capstone Analytics Project,Apply the full analytics process to a real or simulated business problem.,"project management, analytics, communication",Curated prototype; future source: Fordham catalog/professor files/course descriptions
46,course,Survey and Customer Research,Design and analyze surveys to understand customer behavior and preferences.,"survey design, statistics, customer insights",Curated prototype; future source: Fordham catalog/professor files/course descriptions
47,course,Excel Modeling,Build spreadsheet models for business analysis and decision support.,"Excel, modeling, finance",Curated prototype; future source: Fordham catalog/professor files/course descriptions
48,course,Time Series Forecasting,Analyze trends and build forecasts for business planning.,"forecasting, Python, statistics",Curated prototype; future source: Fordham catalog/professor files/course descriptions
49,course,Responsible AI,"Evaluate ethical, privacy, and fairness issues in AI systems.","AI ethics, governance, risk",Curated prototype; future source: Fordham catalog/professor files/course descriptions
50,course,Consulting Analytics,Use analytical frameworks to solve client-facing business problems.,"consulting, communication, analytics",Curated prototype; future source: Fordham catalog/professor files/course descriptions
51,skill,Python,"Programming language used for data analysis, automation, and machine learning.","Python, pandas, automation",Curated prototype; future source: extracted skill taxonomy from real postings
52,skill,SQL,"Core skill for querying, filtering, joining, and aggregating relational data.","SQL, databases, analytics",Curated prototype; future source: extracted skill taxonomy from real postings
53,skill,Tableau,Visualization tool used to build dashboards and communicate insights.,"Tableau, visualization, dashboards",Curated prototype; future source: extracted skill taxonomy from real postings
54,skill,Power BI,Business intelligence tool used for reporting and dashboard development.,"Power BI, dashboards, reporting",Curated prototype; future source: extracted skill taxonomy from real postings
55,skill,Excel,"Spreadsheet tool used for analysis, modeling, and reporting.","Excel, modeling, reporting",Curated prototype; future source: extracted skill taxonomy from real postings
56,skill,Machine Learning,Methods for building predictive models from data.,"machine learning, prediction, modeling",Curated prototype; future source: extracted skill taxonomy from real postings
57,skill,Statistics,"Foundation for inference, hypothesis testing, and uncertainty analysis.","statistics, hypothesis testing, regression",Curated prototype; future source: extracted skill taxonomy from real postings
58,skill,Data Cleaning,Process of preparing raw data for analysis and modeling.,"data cleaning, data quality, preprocessing",Curated prototype; future source: extracted skill taxonomy from real postings
59,skill,Data Visualization,Skill for turning data into readable visual insights.,"visualization, dashboard, storytelling",Curated prototype; future source: extracted skill taxonomy from real postings
60,skill,Business Communication,Ability to explain analytical results to non-technical stakeholders.,"communication, presentation, stakeholder management",Curated prototype; future source: extracted skill taxonomy from real postings
61,skill,A/B Testing,Experimentation method used to evaluate product and marketing changes.,"experimentation, statistics, product analytics",Curated prototype; future source: extracted skill taxonomy from real postings
62,skill,Forecasting,Predicting future trends using historical data.,"forecasting, time series, statistics",Curated prototype; future source: extracted skill taxonomy from real postings
63,skill,NLP,Techniques for analyzing and extracting insights from text data.,"NLP, text analysis, Python",Curated prototype; future source: extracted skill taxonomy from real postings
64,skill,Prompt Engineering,Designing effective prompts for AI tools and generative AI workflows.,"prompt engineering, AI tools, communication",Curated prototype; future source: extracted skill taxonomy from real postings
65,skill,ETL,"Extract, transform, and load process used in data pipelines.","ETL, data engineering, SQL",Curated prototype; future source: extracted skill taxonomy from real postings
66,skill,Dashboard Design,Building clear and actionable performance dashboards.,"dashboards, visualization, KPIs",Curated prototype; future source: extracted skill taxonomy from real postings
67,skill,Regression,Statistical modeling technique for understanding relationships and prediction.,"regression, statistics, modeling",Curated prototype; future source: extracted skill taxonomy from real postings
68,skill,Optimization,Analytical approach for improving decisions under constraints.,"optimization, operations, decision modeling",Curated prototype; future source: extracted skill taxonomy from real postings
69,skill,Stakeholder Management,Working with business teams to define needs and deliver useful insights.,"stakeholders, communication, requirements",Curated prototype; future source: extracted skill taxonomy from real postings
70,skill,Data Governance,"Processes for managing data quality, privacy, and responsible use.","data governance, privacy, quality",Curated prototype; future source: extracted skill taxonomy from real postings
